Match type,Repository,Repository external URL
repo,github.com/Monibuca/engine,https://sourcegraph.com/github.com/Monibuca/engine
repo,github.com/qiniu/goc,https://sourcegraph.com/github.com/qiniu/goc
repo,github.com/crossplane-contrib/provider-aws,https://sourcegraph.com/github.com/crossplane-contrib/provider-aws
repo,github.com/miniflux/v2,https://sourcegraph.com/github.com/miniflux/v2
repo,github.com/vmware/cloud-director-named-disk-csi-driver,https://sourcegraph.com/github.com/vmware/cloud-director-named-disk-csi-driver
repo,github.com/openshift/cluster-dns-operator,https://sourcegraph.com/github.com/openshift/cluster-dns-operator
repo,github.com/exoscale/egoscale,https://sourcegraph.com/github.com/exoscale/egoscale
repo,github.com/open-cluster-management-io/api,https://sourcegraph.com/github.com/open-cluster-management-io/api
repo,github.com/cockroachdb/swiss,https://sourcegraph.com/github.com/cockroachdb/swiss
repo,github.com/goplus/gogen,https://sourcegraph.com/github.com/goplus/gogen
repo,github.com/byteflowteam/kratos-vue-admin,https://sourcegraph.com/github.com/byteflowteam/kratos-vue-admin
repo,github.com/pbar1/mfaws,https://sourcegraph.com/github.com/pbar1/mfaws
repo,github.com/YuukanOO/seelf,https://sourcegraph.com/github.com/YuukanOO/seelf
repo,github.com/Azure/terraform-provider-alz,https://sourcegraph.com/github.com/Azure/terraform-provider-alz
repo,github.com/PacktPublishing/Go-Programming-From-Beginner-to-Professional-Second-Edition-,https://sourcegraph.com/github.com/PacktPublishing/Go-Programming-From-Beginner-to-Professional-Second-Edition-
repo,github.com/bytedance/gg,https://sourcegraph.com/github.com/bytedance/gg
repo,github.com/alphagov/paas-cf,https://sourcegraph.com/github.com/alphagov/paas-cf
repo,github.com/JanMa/nomad-driver-nspawn,https://sourcegraph.com/github.com/JanMa/nomad-driver-nspawn
repo,github.com/kube-arbiter/arbiter,https://sourcegraph.com/github.com/kube-arbiter/arbiter
repo,github.com/srlehn/termimg,https://sourcegraph.com/github.com/srlehn/termimg
repo,github.com/hashicorp/terraform-provider-ad,https://sourcegraph.com/github.com/hashicorp/terraform-provider-ad
repo,github.com/mainflux/agent,https://sourcegraph.com/github.com/mainflux/agent
repo,github.com/chapar-rest/chapar,https://sourcegraph.com/github.com/chapar-rest/chapar
repo,github.com/zwwhdls/csibuilder,https://sourcegraph.com/github.com/zwwhdls/csibuilder
repo,github.com/pulumi/pulumi,https://sourcegraph.com/github.com/pulumi/pulumi
repo,github.com/Isites/go-coder,https://sourcegraph.com/github.com/Isites/go-coder
repo,github.com/urfave/cli,https://sourcegraph.com/github.com/urfave/cli
repo,github.com/ardanlabs/service,https://sourcegraph.com/github.com/ardanlabs/service
repo,github.com/grol-io/grol,https://sourcegraph.com/github.com/grol-io/grol
repo,github.com/PremoWeb/chadburn,https://sourcegraph.com/github.com/PremoWeb/chadburn
repo,github.com/tailscale/tailscale,https://sourcegraph.com/github.com/tailscale/tailscale
repo,github.com/mowshon/iterium,https://sourcegraph.com/github.com/mowshon/iterium
